Estado;Codigo;Arquivo
falha;12140;Protocolo719501710956SICDISPENSAFINAL2016e2017Anexo44438_1.xlsx
falha;12144;Protocolo73067179932UCRH1InstAnexo44445_1.docx
falha;12147;cronogramatipo144452_1.xlsx
falha;12148;Planilhaoramentria1Saladeaula220V144452_1.xlsx
falha;12149;PlanilhaoramentriaPADRO2Salasdeaula220V44452_1.xlsx
falha;12150;PlanilhaoramentriaPADRO4Salasdeaula220V44452_1.xlsx
falha;12151;PlanilhaoramentriaPADRO6Salas220V44452_1.xlsx
falha;12152;PlanilhaoramentriaPADRO12Salasdeaula220V144452_1.xlsx
falha;12186;Instituto Sou da Paz/pasta 59/MRE - A exporta‡Æo de armas abaixo de calibre 45.docx
falha;12188;Instituto Sou da Paz/pasta 60/MRE - exporta‡Æo de armas abaixo de cal 45 - qual o ¢rgÆo do Itamaraty respons vel pela an lise.docx
falha;12190;Instituto Sou da Paz/pasta 61/MRE - exporta‡Æo armas cal 45_ qual o crit‚rio utilizado para a an lise da exporta‡Æo.docx
falha;12192;Instituto Sou da Paz/pasta 62/MRE - exporta‡Æo abaixo de calibre 45 - an lise vinculante.docx
falha;12194;Instituto Sou da Paz/pasta 63/MRE - Qual o tipo de an lise diplom tica realizada ppt do Ex‚rcito - risco ou missäes comerciais.docx
falha;12251;SSPESquanteperfildasarmasapreendidasem201444509_1.docx
falha;12252;SSPESquanteperfildasarmasapreendidasem201444508_1.docx
falha;12265;relaodecedidos44521_1.xlsx
falha;12266;arsesp44522_1.xlsx
falha;12267;arsesp44524_1.xlsx
falha;12270;Protocolo539971710240Anexo44529_1.xlsx
falha;12322;AUTOSDEINFRAOAVANODESINALCIDADEDORIOJAN16AJUN1744656_1.xlsx
falha;12323;AUTOSDEINFRAOEXCESSODEVELOCIDADECIDADEDORIOJAN16AJUN1744657_1.xlsx
falha;12324;RECEPTAO44658_1.xlsx
falha;12325;DiriasePassagens1trimestre44659_1.xlsx
falha;12326;DiriasePassagens2trimestre44659_1.xlsx
falha;12327;DiriasePassagens3semestre44659_1.xlsx
falha;12331;SAPSINTESE200244663_1.doc
falha;12332;ControladoriaGeraldoMunicpiodeSoPaulo0802201744665_1.csv
falha;12371;Tribunal de Justiça de Pernambuco/013-2017/Pedido de Informacao n§ 013-2017-EmailsVaras.xls
falha;12376;Tribunal de Justiça de Pernambuco/016-2017/Pedido de Informacao n§ 016-2017-Requerimento de Inscricao de Pretendentes para Adocao-1.doc
falha;12393;Tribunal de Justiça de Pernambuco/024-2017/Pedido de informacao n§ 024-2017-EmailsVaras.xls
falha;12401;Tribunal de Justiça de Pernambuco/031-2016/Informacao 031-2016 Processo 2§ Grau.xlsx
falha;12402;Tribunal de Justiça de Pernambuco/031-2016/Informacao 031-2016 Processos 1§ Grau.xlsx
falha;12633;2017020213593811176501_1.jpg
falha;12655;SIC.rar
falha;12667;Tá de Pé/Macapá3412017Portaria.jpg
falha;12668;Tá de Pé/João Pessoa309972SIC 2.rar
falha;12669;Tá de Pé/João Pessoa309972SIC.rar
falha;12692;Resposta11176574_1.zip
falha;12693;Resposta12176574_1.zip
falha;12694;Respostainicial176552_1.docx
falha;12712;SICcomprovantedasdevoluesdosrecursosdasobrascanceladas176578_1.zip
falha;12728;Obrasconcluidas176599_1.xlsx
falha;12745;cd99labgeoprocessamentomundonovo176607_1.jpg
falha;12746;cd99despachoauditoria176607_1.doc
falha;12747;cd99labsalasdeaulamundonovo176607_1.jpg
falha;12748;cd99salaaulamundonovo1176607_1.jpg
falha;12749;cd99salasdeaulamundonovo176607_1.jpg
falha;12750;cd99utf8laboratorio176607_1.jpg
falha;12757;DemandaSICTranspBrasil1176620_1.zip
falha;12759;PedidoSIC23480004912201838ListaMunicpios176621_1.xlsx
falha;12779;CronogramasObrasSIMECTxanaPera176658_1.xlsx
falha;12791;indicepoliticosteste176668_1.csv
falha;12793;CGMfinalsemanexos176674_1.csv
falha;12794;20180515Arquivosxml2018176674_1.zip
falha;12818;falecomogoverno201890645176687_1.docx
falha;12819;1176692_1.png
falha;12820;2176692_1.png
falha;12824;Planilha00075000776201893176700_1.xlsx
falha;12825;Gastos2017UOf176703_1.xlsx
falha;12828;SOLICITAOTELEELEITORAL176712_1.docx
falha;12830;processosconsultapublicaTSE176717_1.xlsx
falha;12848;Câmara de Curitiba/Anexos sic 2013/900.001.482.013
falha;13329;TCE-RR//ANEXO_07
falha;13330;TCE-RR//ANEXO_06
falha;13331;TCE-RR//ANEXO_08
falha;13332;TCE-RR//ANEXO_09_____________________________________________________________________ANEXO_10
falha;13333;TCE-RR//ANEXO_11___________________________________________________________________ANEXO_12
falha;13334;TCE-RR//ANEXO_13_AO_ANEXO_41
falha;13335;TCE-RR//ANEXO_42___________________________________________________________________ANEXO_43___________________________________________________________________ANEXO_44
falha;13336;TCE-RR//ANEXO_45
falha;13337;TCE-RR//ANEXO_46
falha;13338;TCE-RR//ANEXO_47___________________________________________________________________ANEXO_48
falha;13339;TCE-RR//ANEXO_50
falha;13340;TCE-RR//ANEXO_51
falha;13341;TCE-RR//ANEXO_52
falha;13342;TCE-RR//ANEXO_53_AO_ANEXO_59
falha;13343;TCE-RR//ANEXO_60____________________________________________________________________ANEXO_61
falha;13344;TCE-RR//ANEXO_62
falha;13345;TCE-RR//ANEXO_63_____________________________________________________________________ANEXO_64
falha;13346;TCE-RR//ANEXO_65___________________________________________________________________ANEXO_66
falha;13347;TCE-RR//ANEXO_67
falha;13348;TCE-RR//ANEXO_68
falha;13349;TCE-RR//ANEXO_69
falha;13350;TCE-RR//ANEXO_70_____________________________________________________________________ANEXO_71
falha;13351;TCE-RR//ANEXO_72
falha;13352;TCE-RR//ANEXO_73
falha;13359;TCE-RR//ANEXO_01ANEXO_02
falha;13360;TCE-RR//ANEXO_03
falha;13361;TCE-RR//ANEXO_04
falha;13362;TCE-RR//ANEXO_05.01________________________________________________________________ANEXO_05.02
falha;13363;Processo4011081185811_1.xlsx
falha;13500;TRF3/Anexo_2112512_assuntos.docx
falha;13530;STJ/2014/411_Redmine_-_Pedido_de_Informações_411_-_Remun_Magistrados.xls
falha;13567;STJ/2014/93892_SGI_-_União_1_-_22_08_2012.DOC
falha;17833;Governo do Maranhão/ax_pedidos_resposta/respostas6489_pedido_7467_contatos_arrendatários.xlsx
falha;20194;Governo do Maranhão/ax_pedidos_resposta/Pedido_7197_recurso_84_instancia_1_resposta_79_Ofício_nº_351_2016_(8).tif
falha;21097;Governo do Maranhão/ax_pedidos_resposta/Resposta6345_Pedido_7271_012830.jpe
falha;21110;Governo do Maranhão/ax_pedidos_resposta/Resposta6351_Pedido_7300_ANTONIOBITTENCOURT002.jpg
falha;21111;Governo do Maranhão/ax_pedidos_resposta/Resposta6351_Pedido_7300_ANTONIOBITTENCOURT001.jpg
falha;21119;Prefeitura de São Paulo/parte3 (8330-13571)/1183_protocolo_1183.docx
falha;21121;Prefeitura de São Paulo/parte3 (8330-13571)/1190_linhas_empresa_usd.xlsx
falha;21127;Prefeitura de São Paulo/parte3 (8330-13571)/12257_bls_limpas_2012
falha;21128;Prefeitura de São Paulo/parte3 (8330-13571)/2013
falha;21129;Prefeitura de São Paulo/parte3 (8330-13571)/2014
falha;21130;Prefeitura de São Paulo/parte3 (8330-13571)/2015.xlsx
falha;21144;Prefeitura de São Paulo/parte3 (8330-13571)/13342_esic13342.docx
falha;21242;Prefeitura de São Paulo/parte3 (8330-13571)/15691_ocorrencias_em_emf_emfm_2010_a_20_04_2016_1.xls
falha;25357;Prefeitura de Recife/pedidostransparencia2014/2015_2016_130_0_R.txt
falha;25394;Prefeitura de Recife/pedidostransparencia2015/2015_3065_475_0_R.pdf_(INFORMA??O_DE_CUNHO_PESSOAL
